QTUMUSDT,2.228,-0.09%
XRPUSDT,2.9603,-0.01%
TUSDUSDT,0.9974,0.00%
XLMUSDT,0.3984,-0.18%
ONTUSDT,0.131,-0.83%
TRXUSDT,0.3415,-0.03%
VETUSDT,0.02315,-0.17%
USDCUSDT,0.9992,0.00%
WAVESUSDT,0.986,-0.02%
USDSUSDT,0.9955,0.00%
ONGUSDT,0.1557,0.06%
ZILUSDT,0.01098,-0.18%
ZRXUSDT,0.2534,0.00%
OMGUSDT,0.1568,-0.06%
ONEUSDT,0.00986,-0.80%
WINUSDT,0.00005137,0.20%
XTZUSDT,0.6943,-0.01%
RVNUSDT,0.01222,-0.24%
STXUSDT,0.6055,-0.16%
RLCUSDT,1.104,-0.09%
OGNUSDT,0.0596,-0.33%
SOLUSDT,224.08,-0.08%
ZENUSDT,10.686,-0.52%
SNXUSDT,1.2887,0.41%
VTHOUSDT,0.001647,-0.24%
SXPUSDT,0.1603,0.06%
STORJUSDT,0.2386,-0.17%
YFIUSDT,5494,0.11%
SANDUSDT,0.2788,-0.18%
RSRUSDT,0.006709,0.09%
PAXGUSDT,3837,-0.03%
TRBUSDT,32.94,-0.12%
SUSHIUSDT,0.7025,0.17%
RUNEUSDT,1.199,0.00%
UMAUSDT,1.238,-0.08%
UNIUSDT,8.07,-0.14%
OXTUSDT,0.05043,-0.36%
SUNUSDT,0.0253,-0.08%
STRAXUSDT,0.03918,0.08%
ROSEUSDT,0.02644,0.19%
XEMUSDT,0.001718,-0.29%
SKLUSDT,0.02489,-0.04%
PSGUSDT,1.556,0.00%
1INCHUSDT,0.2627,-0.04%
OGUSDT,15.051,0.05%
RIFUSDT,0.0577,-0.17%
TRUUSDT,0.0291,-0.34%
TWTUSDT,1.3066,-0.36%
SFPUSDT,0.4994,-0.04%
OMUSDT,0.1712,0.06%
PONDUSDT,0.00805,-0.25%
PERPUSDT,0.2972,0.07%
SUPERUSDT,0.644,0.16%
PUNDIXUSDT,0.3205,-0.03%
TLMUSDT,0.0044,-0.23%
SLPUSDT,0.0016,0.19%
SHIBUSDT,0.00001238,-0.16%
PHAUSDT,0.1014,-0.39%
QNTUSDT,105.7,-0.19%
RAYUSDT,2.921,-0.07%
QUICKUSDT,0.02363,-0.08%
WAXPUSDT,0.01781,-0.06%
YGGUSDT,0.1756,0.06%
SYSUSDT,0.03661,-0.25%
RADUSDT,0.6414,0.11%
RAREUSDT,0.0511,-0.20%
PORTOUSDT,1.0934,0.02%
POWRUSDT,0.1485,0.00%
PYRUSDT,1.008,0.00%
SANTOSUSDT,1.918,0.00%
VOXELUSDT,0.0495,0.00%
PEOPLEUSDT,0.01755,-0.34%
SPELLUSDT,0.0004503,-0.02%
WOOUSDT,0.0694,1.02%
TUSDT,0.01536,-0.13%
OPUSDT,0.719,0.03%
STGUSDT,0.1976,0.00%
POLYXUSDT,0.1198,-0.08%
OSMOUSDT,0.1602,-1.05%
PHBUSDT,0.52,0.00%
RPLUSDT,5.074,-0.33%
SYNUSDT,0.118,0.00%
SSVUSDT,8.012,0.14%
USTCUSDT,0.01126,-0.18%
PROMUSDT,9.816,0.29%
QKCUSDT,0.006401,0.02%
RDNTUSDT,0.02058,-0.39%
WBTCUSDT,118920.4,-0.33%
SUIUSDT,3.5098,-0.23%
PEPEUSDT,0.00000982,-0.41%
SNTUSDT,0.02244,0.13%
PENDLEUSDT,4.901,-0.02%
WLDUSDT,1.3054,-0.07%
SEIUSDT,0.2926,-0.03%
TIAUSDT,1.455,-0.34%
ORDIUSDT,8.294,-0.12%
VICUSDT,0.2198,0.05%
VANRYUSDT,0.0264,0.00%
XAIUSDT,0.0417,-0.48%
PYTHUSDT,0.1583,0.06%
PIXELUSDT,0.0277,0.36%
STRKUSDT,0.1564,-0.06%
PORTALUSDT,0.0372,-0.53%
WIFUSDT,0.7629,-0.14%
WUSDT,0.11189,0.06%
TNSRUSDT,0.1019,0.00%
SAGAUSDT,0.2145,0.14%
TAOUSDT,315,-0.22%
REZUSDT,0.01196,0.59%
ZKUSDT,0.05543,0.07%
ZROUSDT,2.285,0.26%
RENDERUSDT,3.569,-0.08%
TONUSDT,2.793,-0.25%
POLUSDT,0.2355,-0.04%
TURBOUSDT,0.003736,-0.11%
SCRUSDT,0.2895,-0.07%
PNUTUSDT,0.2181,0.14%
USUALUSDT,0.0527,-0.19%
THEUSDT,0.4176,0.51%
ORCAUSDT,1.997,-0.30%
VELODROMEUSDT,0.04692,0.13%
VANAUSDT,3.8954,0.15%
PENGUUSDT,0.030788,-0.09%
SUSDT,0.2798,-0.14%
SOLVUSDT,0.04225,0.14%
TRUMPUSDT,7.621,-0.08%
SHELLUSDT,0.1148,0.09%
REDUSDT,0.515,0.72%
PARTIUSDT,0.1337,0.68%
TUTUSDT,0.083999,-0.00%
ONDOUSDT,0.9314,0.03%
VIRTUALUSDT,1.1049,0.05%
WCTUSDT,0.24832,-0.46%
SIGNUSDT,0.06615,0.05%
STOUSDT,0.08754,0.01%
SYRUPUSDT,0.403,0.22%
SXTUSDT,0.0707,0.00%
USD1USDT,0.9994,0.01%
SOPHUSDT,0.02847,-0.07%
RESOLVUSDT,0.108,0.09%
SPKUSDT,0.05177,0.14%
SAHARAUSDT,0.08163,-0.02%
TREEUSDT,0.2628,0.04%
TOWNSUSDT,0.01883,-0.26%
PROVEUSDT,0.73,0.08%
PLUMEUSDT,0.09902,0.05%
WLFIUSDT,0.2025,0.10%
SOMIUSDT,0.8339,0.42%
